2025-04-12 15:29:59,509 INFO    MainThread:172030 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_setup.py:_flush():68] Configure stats pid to 172030
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_setup.py:_flush():68] Loading settings from /home/nlplab/.config/wandb/settings
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_setup.py:_flush():68] Loading settings from /home/nlplab/ssd2/YU/Construct_prompt/wandb/settings
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /home/nlplab/ssd2/YU/Construct_prompt/wandb/run-20250412_152959-v4qc05by/logs/debug.log
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /home/nlplab/ssd2/YU/Construct_prompt/wandb/run-20250412_152959-v4qc05by/logs/debug-internal.log
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_init.py:init():743] calling init triggers
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {'dataset': 'copa', 'split': 'train', 'model': 'beomi/Llama-3-Open-Ko-8B', 'batch_size': 1, 'max_samples': 500, 'max_new_tokens': 10, 'project_name': 'KoBEST_ICL_Eval', 'wandb_run_name': None, 'wandb_group': 'FewShot_S2_Train_Store_500', 'mode': 'store', 'output_json_mistakes': 'results_train_s2_500/copa_train_FewShot_S2_Train_Store_500_mistakes.json', 'output_json_correct': 'results_train_s2_500/copa_train_FewShot_S2_Train_Store_500_correct.json', 'scenario_file': 'icl_scenarios.json', 'icl_copa': True, 'icl_boolq': False, 'icl_hellaswag': False, 'icl_sentineg': False, 'icl_wic': False, 'copa_scenario': 'scenario1', 'boolq_scenario': None, 'hellaswag_scenario': None, 'sentineg_scenario': None, 'wic_scenario': None}
2025-04-12 15:29:59,510 INFO    MainThread:172030 [wandb_init.py:init():776] starting backend
2025-04-12 15:29:59,718 INFO    MainThread:172030 [wandb_init.py:init():780] sending inform_init request
2025-04-12 15:29:59,723 INFO    MainThread:172030 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-12 15:29:59,723 INFO    MainThread:172030 [wandb_init.py:init():795] backend started and connected
2025-04-12 15:29:59,724 INFO    MainThread:172030 [wandb_init.py:init():888] updated telemetry
2025-04-12 15:29:59,725 INFO    MainThread:172030 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-12 15:30:00,181 INFO    MainThread:172030 [wandb_init.py:init():967] starting run threads in backend
2025-04-12 15:30:00,240 INFO    MainThread:172030 [wandb_run.py:_console_start():2409] atexit reg
2025-04-12 15:30:00,241 INFO    MainThread:172030 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-04-12 15:30:00,241 INFO    MainThread:172030 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-04-12 15:30:00,241 INFO    MainThread:172030 [wandb_run.py:_redirect():2349] Redirects installed.
2025-04-12 15:30:00,242 INFO    MainThread:172030 [wandb_init.py:init():1009] run started, returning control to user process
2025-04-12 15:32:51,554 INFO    MainThread:172030 [wandb_run.py:_finish():2134] finishing run leoyeon/KoBEST_ICL_Eval/v4qc05by
2025-04-12 15:32:51,554 INFO    MainThread:172030 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-04-12 15:32:51,554 INFO    MainThread:172030 [wandb_run.py:_restore():2356] restore
2025-04-12 15:32:51,554 INFO    MainThread:172030 [wandb_run.py:_restore():2362] restore done
2025-04-12 15:32:54,527 INFO    MainThread:172030 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-04-12 15:32:54,527 INFO    MainThread:172030 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-04-12 15:32:54,528 INFO    MainThread:172030 [wandb_run.py:_footer_sync_info():3937] logging synced files
